# p ,r
3.394111303784803847e-04 6.260125202504050052e-03
3.415651765503383681e-04 6.280125602512050785e-03
3.437259208132541167e-04 6.300126002520050651e-03
3.458933620814742360e-04 6.320126402528050517e-03
3.480674992699784144e-04 6.340126802536051251e-03
3.502483312933799345e-04 6.360127202544051117e-03
3.524358570662918617e-04 6.380127602552050983e-03
3.546300755044273475e-04 6.400128002560051717e-03
3.568309855227661887e-04 6.420128402568051583e-03
3.590385860364104262e-04 6.440128802576051449e-03
3.612528759610731028e-04 6.460129202584052183e-03
3.634738542121006928e-04 6.480129602592052049e-03
3.657015197052063474e-04 6.500130002600051915e-03
3.679358713564697325e-04 6.520130402608052649e-03
3.701769080819706224e-04 6.540130802616052515e-03
3.724246287974221142e-04 6.560131202624052381e-03
3.746790324195149843e-04 6.580131602632053114e-03
3.769401178642068175e-04 6.600132002640052981e-03
3.792078840480661464e-04 6.620132402648052847e-03
3.814823298876616120e-04 6.640132802656053580e-03
3.837634543001728574e-04 6.660133202664053446e-03
3.860512562022907134e-04 6.680133602672054180e-03
3.883457345109504440e-04 6.700134002680054046e-03
3.906468881433316923e-04 6.720134402688053912e-03
3.929547160166141015e-04 6.740134802696054646e-03
3.952692170482217482e-04 6.760135202704054512e-03
3.975903901560676841e-04 6.780135602712054378e-03
3.999182342575759315e-04 6.800136002720055112e-03
4.022527482704150547e-04 6.820136402728054978e-03
4.045939311128646742e-04 6.840136802736054844e-03
4.069417817027154894e-04 6.860137202744055578e-03
4.092962989578804436e-04 6.880137602752055444e-03
4.116574817973724034e-04 6.900138002760055310e-03
4.140253291392266641e-04 6.920138402768056043e-03
4.163998399022115506e-04 6.940138802776055910e-03
4.187810130049733604e-04 6.960139202784055776e-03
4.211688473662805808e-04 6.980139602792056509e-03
4.235633419050238344e-04 7.000140002800056375e-03
4.259644955407048544e-04 7.020140402808056242e-03
4.283723071923366157e-04 7.040140802816056975e-03
4.307867757792985535e-04 7.060141202824056841e-03
4.332079002210924550e-04 7.080141602832056708e-03
4.356356794373422432e-04 7.100142002840057441e-03
4.380701123475497054e-04 7.120142402848057307e-03
4.405111978720720645e-04 7.140142802856057173e-03
4.429589349307777309e-04 7.160143202864057907e-03
4.454133224437795482e-04 7.180143602872057773e-03
4.478743593313124416e-04 7.200144002880057639e-03
