# p ,r
2.932994359513137975e-04 1.072021440428808613e-02
2.943870835781911468e-04 1.074021480429608599e-02
2.954767153834317751e-04 1.076021520430408586e-02
2.965683312102750644e-04 1.078021560431208746e-02
2.976619308985565984e-04 1.080021600432008733e-02
2.987575142915605908e-04 1.082021640432808719e-02
2.998550812314218386e-04 1.084021680433608706e-02
3.009546315614516064e-04 1.086021720434408692e-02
3.020561651215212563e-04 1.088021760435208679e-02
3.031596817549691040e-04 1.090021800436008839e-02
3.042651813051601905e-04 1.092021840436808826e-02
3.053726636120019278e-04 1.094021880437608812e-02
3.064821285188774631e-04 1.096021920438408799e-02
3.075935758680202014e-04 1.098021960439208786e-02
3.087070055028582846e-04 1.100022000440008772e-02
3.098224172633439019e-04 1.102022040440808932e-02
3.109398109929230845e-04 1.104022080441608919e-02
3.120591865350597527e-04 1.106022120442408906e-02
3.131805437297420914e-04 1.108022160443208892e-02
3.143038824204700166e-04 1.110022200444008879e-02
3.154292024495847571e-04 1.112022240444808865e-02
3.165565036605772300e-04 1.114022280445609026e-02
3.176857858935433899e-04 1.116022320446409012e-02
3.188170489920100952e-04 1.118022360447208999e-02
3.199502927995040956e-04 1.120022400448008985e-02
3.210855171561663403e-04 1.122022440448808972e-02
3.222227219055684650e-04 1.124022480449608959e-02
3.233619068901326886e-04 1.126022520450409119e-02
3.245030719534935308e-04 1.128022560451209105e-02
3.256462169358008310e-04 1.130022600452009092e-02
3.267913416806982703e-04 1.132022640452809079e-02
3.279384460318203682e-04 1.134022680453609065e-02
3.290875298293887926e-04 1.136022720454409225e-02
3.302385929170831118e-04 1.138022760455209212e-02
3.313916351385917843e-04 1.140022800456009198e-02
3.325466563341544215e-04 1.142022840456809185e-02
3.337036563475135297e-04 1.144022880457609172e-02
3.348626350212258228e-04 1.146022920458409158e-02
3.360235921990426975e-04 1.148022960459209318e-02
3.371865277212846468e-04 1.150023000460009305e-02
3.383514414317299553e-04 1.152023040460809292e-02
3.395183331741479633e-04 1.154023080461609278e-02
3.406872027889040495e-04 1.156023120462409265e-02
3.418580501198124942e-04 1.158023160463209252e-02
3.430308750095288368e-04 1.160023200464009412e-02
3.442056773019392399e-04 1.162023240464809398e-02
